2018-04-20 12:56:22,b' #JDWPL RT @the_nomads: Tonight is our 6\xef\xb8\x8f\xe2\x83\xa3th and final meeting of the season with @tnsfc. \n\nSo far againsts the Saints we\xe2\x80\x99ve had...\n\n\xe2\x9c\x85 1 win \n\xe2\x86\x94\xef\xb8\x8f 1\xe2\x80\xa6',London
2018-04-20 12:55:20,b' #JDWPL Tonight is our 6\xef\xb8\x8f\xe2\x83\xa3th and final meeting of the season with @tnsfc. \n\nSo far againsts the Saints we\xe2\x80\x99ve had...\n\n\xe2\x9c\x85 1 wi\xe2\x80\xa6 https://t.co/mlcQgMLphw',London
2018-04-20 11:23:24,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 11:14:44,"b'RT @WPL_Official: \xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for March, hi\xe2\x80\xa6'",London
2018-04-20 10:37:00,"b'RT @WPL_Official: \xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for March, hi\xe2\x80\xa6'",London
2018-04-20 10:22:34,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 10:04:09,b'RT @the_nomads: #JDWPL PLAYER OF THE MONTH\nBakare named as League Player of the Month for March\n\nhttps://t.co/Pb81go9lrJ https://t.co/lJU8w\xe2\x80\xa6',London
2018-04-20 09:52:43,"b"" #JDWPL RT @LlandudnoFC: THIS SATURDAY | It's the final home game of 2017/18 for us this Saturday as we take on @BarryTownUnited in the @WPL_Offici\xe2\x80\xa6""",London
2018-04-20 09:50:28,"b"" #JDWPL RT @LlandudnoFC: THIS SATURDAY | It's the final home game of 2017/18 for us this Saturday as we take on @BarryTownUnited in the @WPL_Offici\xe2\x80\xa6""",London
2018-04-20 09:41:31,b'RT @the_nomads: #JDWPL PLAYER OF THE MONTH\nBakare named as League Player of the Month for March\n\nhttps://t.co/Pb81go9lrJ https://t.co/lJU8w\xe2\x80\xa6',London
2018-04-20 09:40:05,b'#JDWPL PLAYER OF THE MONTH\nBakare named as League Player of the Month for March\n\nhttps://t.co/Pb81go9lrJ https://t.co/lJU8wXg35M',London
2018-04-20 09:36:32,"b'RT @WPL_Official: \xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for March, hi\xe2\x80\xa6'",London
2018-04-20 09:35:47,"b'RT @WPL_Official: \xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for March, hi\xe2\x80\xa6'",London
2018-04-20 09:35:00,"b'\xf0\x9f\x8f\x85 Congrats also to @BarryTownUnited boss Gavin Chesterfield, who wins the #JDWPL Manager of the Month award for Mar\xe2\x80\xa6 https://t.co/p3hUtRnyQA'",London
2018-04-20 09:30:00,"b'\xf0\x9f\x8f\x85 Congrats to @the_nomads Michael Bakare, who wins the #JDWPL Player of the Month award for March.  \xf0\x9f\x91\x8f https://t.co/KmxGMy6sRc'",London
2018-04-20 08:54:34,b'RT @AberystwythTown: GAME DAY!! \n#JDWPL \n\xf0\x9f\x8f\x9f Park Avenue / Coedlan y Parc\n\xe2\x8f\xb1 8 p.m Kick Off \n\xe2\x9a\xbd\xef\xb8\x8f @CarmarthenAFC\nFREE entry for all @AberUni stu\xe2\x80\xa6',London
2018-04-20 08:54:19,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 08:46:42,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 08:46:17,"b'RT @bangorcityfc: \xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETAILS \xe2\x8f\xa9\xe2\x80\xa6'",London
2018-04-20 08:43:00,"b'\xf0\x9f\x93\xb0 MATCH PREVIEW | @WPL_Official #JDWPL Matchday 31\n\n#Citizens v @CefnDruids \n\xf0\x9f\x97\x93\xef\xb8\x8f Sun, 22 April\n\xe2\x8f\xb1\xef\xb8\x8f 3pm Kick Off\n\nDETA\xe2\x80\xa6 https://t.co/kL63lfhK06'",London
2018-04-20 08:42:27,b'GAME DAY!! \n#JDWPL \n\xf0\x9f\x8f\x9f Park Avenue / Coedlan y Parc\n\xe2\x8f\xb1 8 p.m Kick Off \n\xe2\x9a\xbd\xef\xb8\x8f @CarmarthenAFC\nFREE entry for all @AberUni\xe2\x80\xa6 https://t.co/iVtLgr6TFU',London
2018-04-20 08:35:10,b'RT @the_nomads: Tonight! Our penultimate game of the season...\n\n\xf0\x9f\x94\xb4 Nomads \n\xf0\x9f\x86\x9a @tnsfc \n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf #JDWPL \n2\xef\xb8\x8f\xe2\x83\xa3nd faces 1\xef\xb8\x8f\xe2\x83\xa3st \n\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fA race for Euro\xe2\x80\xa6',London
2018-04-20 07:38:19,b'RT @the_nomads: Tonight! Our penultimate game of the season...\n\n\xf0\x9f\x94\xb4 Nomads \n\xf0\x9f\x86\x9a @tnsfc \n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf #JDWPL \n2\xef\xb8\x8f\xe2\x83\xa3nd faces 1\xef\xb8\x8f\xe2\x83\xa3st \n\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fA race for Euro\xe2\x80\xa6',London
2018-04-20 07:20:53,b'RT @the_nomads: Tonight! Our penultimate game of the season...\n\n\xf0\x9f\x94\xb4 Nomads \n\xf0\x9f\x86\x9a @tnsfc \n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf #JDWPL \n2\xef\xb8\x8f\xe2\x83\xa3nd faces 1\xef\xb8\x8f\xe2\x83\xa3st \n\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fA race for Euro\xe2\x80\xa6',London
2018-04-20 07:18:11,b'Tonight! Our penultimate game of the season...\n\n\xf0\x9f\x94\xb4 Nomads \n\xf0\x9f\x86\x9a @tnsfc \n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf #JDWPL \n2\xef\xb8\x8f\xe2\x83\xa3nd faces 1\xef\xb8\x8f\xe2\x83\xa3st \n\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fA race\xe2\x80\xa6 https://t.co/4NyrrhfWey',London
2018-04-19 21:36:22,b'RT @TiWelshFootball: Pathetic. Simply pathetic. Low-life scum. #JDWPL https://t.co/9TKK386UTf',London
2018-04-19 20:44:32,b'Pathetic. Simply pathetic. Low-life scum. #JDWPL https://t.co/9TKK386UTf',London
2018-04-19 18:24:33,"b'RT @WPL_Official: \xf0\x9f\x8e\x99\xef\xb8\x8fPODCAST | The big clash at the foot of the #JDWPL is the feature of the latest edition of the Pod, as @marcwebber and J\xe2\x80\xa6'",London
2018-04-19 11:47:18,"b' #JDWPL RT @CambrianSport: ""We need to get an extra point, that\xe2\x80\x99s all we need over the next two games to be mathematically safe,"" says @Aberystwyth\xe2\x80\xa6'",London
2018-04-19 11:32:58,"b' #JDWPL RT @CambrianSport: ""We need to get an extra point, that\xe2\x80\x99s all we need over the next two games to be mathematically safe,"" says @Aberystwyth\xe2\x80\xa6'",London
2018-04-19 11:30:37,"b' #JDWPL RT @CambrianSport: ""We need to get an extra point, that\xe2\x80\x99s all we need over the next two games to be mathematically safe,"" says @Aberystwyth\xe2\x80\xa6'",London
2018-04-19 11:30:02,"b' #JDWPL ""We need to get an extra point, that\xe2\x80\x99s all we need over the next two games to be mathematically safe,"" says\xe2\x80\xa6 https://t.co/gttUqor1L8'",London
2018-04-19 08:00:41,"b"" #JDWPL RT @CambrianSport: After their 1-0 win away win @ptfcseasiders it's back to Park Avenue for @AberystwythTown on Friday night, where a point\xe2\x80\xa6""",London
2018-04-19 07:23:49,b'RT @the_nomads: #JDWPL MATCH PREVIEW\nEuropean hunt continues at Park Hall\n\nhttps://t.co/gqIMpa8SAL https://t.co/83PcQosAmO',London
2018-04-19 01:08:34,b' #JDWPL RT @markpitman1: \xf0\x9f\x8f\x86Congratulations to @CaernarfonTown as they return to the @WPL_Official as Cymru Alliance champions following a 5-0 win ov\xe2\x80\xa6',London
2018-04-18 22:02:02,b' #JDWPL RT @markpitman1: \xf0\x9f\x8f\x86Congratulations to @CaernarfonTown as they return to the @WPL_Official as Cymru Alliance champions following a 5-0 win ov\xe2\x80\xa6',London
2018-04-18 21:31:36,b'RT @the_nomads: #JDWPL MATCH PREVIEW\nEuropean hunt continues at Park Hall\n\nhttps://t.co/gqIMpa8SAL https://t.co/83PcQosAmO',London
2018-04-18 21:20:06,b'RT @the_nomads: #JDWPL MATCH PREVIEW\nEuropean hunt continues at Park Hall\n\nhttps://t.co/gqIMpa8SAL https://t.co/83PcQosAmO',London
2018-04-18 21:02:36,b'#JDWPL MATCH PREVIEW\nEuropean hunt continues at Park Hall\n\nhttps://t.co/gqIMpa8SAL https://t.co/83PcQosAmO',London
2018-04-18 20:11:55,b' #JDWPL RT @markpitman1: \xf0\x9f\x8f\x86Congratulations to @CaernarfonTown as they return to the @WPL_Official as Cymru Alliance champions following a 5-0 win ov\xe2\x80\xa6',London
