2018-04-20 20:13:54,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:13:36,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:12:52,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:12:49,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:12:46,b'RT @LFC: CAMACHO! \xf0\x9f\x94\xa5\n\nA stunning solo run and shot from Raafa Camacho to put #LFCU18s back infront! \n\n[2-1] Watch live: https://t.co/Rv8xo2D\xe2\x80\xa6',London
2018-04-20 20:12:44,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:12:34,b'RT @LivEchoLFC: FULL TIME - #LFCU18s win 2-1!!\n\nhttps://t.co/BGIp5wrpBx',London
2018-04-20 20:12:30,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:12:25,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:12:24,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:12:20,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:12:20,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:12:16,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:12:12,b'RT @LFC: \xf0\x9f\x93\x8bOur #LFCU18s side to take on @ManUtd...\n\n\xf0\x9f\x93\xba Live coverage will get underway on @LFCTV and LFCTV GO in 2\xe2\x83\xa35\xe2\x83\xa3 minutes: https://t.co/x\xe2\x80\xa6',London
