2018-04-20 20:08:26,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:08:21,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:08:19,b'RT @ShawnMTrack: Shawn Mendes singing In my blood live tonight in #SoundsLikeFridayNight \n\nhttps://t.co/UuEGvp6MpA',London
2018-04-20 20:08:19,b'RT @bbcmusic: \xe2\x9a\xa1\xef\xb8\x8f@CharliePuth + \xf0\x9f\x8e\xb9= perfection \n#SoundsLikeFridayNight https://t.co/XDKpAucHAM',London
2018-04-20 20:08:17,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:08:14,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:08:09,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:08:06,b'RT @ShawnMTrack: Shawn performing In my blood tonight in #SoundsLikeFridayNight https://t.co/lrGoM8YhqK',London
2018-04-20 20:07:56,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:07:49,"b""RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? \xf0\x9f\x92\x95\n#SoundsLikeFridayNight https://t.co/wC7UIpsulC""",London
2018-04-20 20:07:44,b'RT @bbcmusic: The first time @ShawnMendes has performed live in front of an audience this year \xf0\x9f\x92\x95 #SoundsLikeFridayNight https://t.co/dFnJmb\xe2\x80\xa6',London
2018-04-20 20:07:28,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
