2018-04-20 20:01:21,b'RT @fcbrewing: Duuude\xe2\x80\xa6ever think about the technology needed to cram so much badassness into a 12 oz. can? #420day\n-\n #ElChingon #IPA #fcbr\xe2\x80\xa6',California
2018-04-20 20:01:21,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:01:21,b'RT @kthjjg: in honor of #420day https://t.co/yVx6MaMLx8',California
2018-04-20 20:01:21,"b""RT @HuffPost: On #420day, here's the exhaustive list of everyone who's died of a marijuana overdose.\n\nOh wait. \n\nThere's no one. https://t.\xe2\x80\xa6""",California
2018-04-20 20:01:21,b'RT @shonterenee: Listen to The Introduction by Shonte Renee #np on #SoundCloud #NewMusicFridays #Happy420 #420day https://t.co/wRtmJirtSs',California
2018-04-20 20:01:20,b' #420day RT @eugenegu: Free all the people of color rotting in prison while John Boehner and a bunch of rich white people get richer selling weed. #\xe2\x80\xa6',California
2018-04-20 20:01:20,b' #420day RT @sahluwal: As our nation profits from the sale of legalized cannabis I want you to remember the countless Americans sitting behind bars\xe2\x80\xa6',California
2018-04-20 20:01:19,"b' #420day RT @girlsreallyrule: We mass incarcerate minorities and the poor for selling marijuana, but the pharamcueitcal companies, lobbyists and pha\xe2\x80\xa6'",California
2018-04-20 20:01:19,"b"" #420day When I was last in the hospital, my roommate's foot and leg were both decaying. \n Still a better aroma than what pa\xe2\x80\xa6 https://t.co/rkwqlxzdCh""",California
2018-04-20 20:01:18,b'RT @Complex: Mood. #420Day https://t.co/EA5vqiKi1S',California
2018-04-20 20:01:18,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:18,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
