2018-04-20 19:38:16,b'Matches that raised me to be a fan as a kid. #ringstruck4 https://t.co/mX8HBP5KPr',California
2018-04-20 19:38:15,"b"" #RingStruck4 I'd been pretty out of wrestling for a long time but these 4 matches  really brought me back into it, I could prett\xe2\x80\xa6 https://t.co/7m9SOhKOaY""",California
2018-04-20 19:38:12,b' #RingStruck4 Yep I\xe2\x80\x99m doing this too. My favourite childhood wrestling memory. My favourite teenage wrestling memories. My favour\xe2\x80\xa6 https://t.co/HEChTxPbzF',California
2018-04-20 19:38:04,b'RT @WrestlingSheet: you forgot the house of horrors match at payback for the wwe championship. \n\n#ringstruck4 https://t.co/QKGHfXVKGK',California
2018-04-20 19:38:01,b'This is too hard. I\xe2\x80\x99ll get back to you. #RingStruck4',California
2018-04-20 19:37:44,"b'RT @ryansatin: Great idea, @chillhartman!  \n\n#ringstruck4 https://t.co/C3KO4Gb0Mq'",California
2018-04-20 19:37:30,b'This was hard af #RingStruck4 https://t.co/RCFjb8Lttc',California
2018-04-20 19:37:24,"b'#RingStruck4\nAJ Styles vs Christopher Daniels vs Samoa Joe, TNA Unbreakable\nThe Rivival vs DIY, NXT Takeover Toront\xe2\x80\xa6 https://t.co/649JPW3qtM'",California
2018-04-20 19:37:24,b'#RingStruck4 \nWhat?',California
2018-04-20 19:37:11,b' #RingStruck4 RT @WrestlingSheet: one of the best network tv shown matches of all time is angle vs lesnar iron man on smackdown. a true classic. \n\n#rings\xe2\x80\xa6',California
2018-04-20 19:36:42,"b"" #RingStruck4 This was pretty hard and I'm sure I'm forgetting a bunch of great matches, but these matches always stand out to me\xe2\x80\xa6 https://t.co/OfvivFfQ5N""",California
2018-04-20 19:36:34,b'#ringstruck4 pick 4 matches that shaped your life as a wrestling fan. Here\xe2\x80\x99s my 4 still go back and watch them often https://t.co/RGUJ5uVn3w',California
2018-04-20 19:35:54,b'#RingStruck4\nEach one of these matches made me appreciate and love Wrestling even more https://t.co/E5KZL8bZeR',California
2018-04-20 19:35:41,b'Gave it a shot #ringstruck4 https://t.co/wfOQtrDdJA',California
2018-04-20 19:35:09,b'Folks who I would love to see do a #RingStruck4\n@WWEDanielBryan \n@dabryceisright \n@MikeQuackenbush\n@newgenpodcast',California
2018-04-20 19:34:48,"b' #RingStruck4 RT @WrestlingSheet: can\xe2\x80\x99t be 4/20 without a little RVD love. \n\n(for real though, that match is incredible if only for the mood / venue)\n\n#r\xe2\x80\xa6'",California
2018-04-20 19:34:47,"b""RT @workratewarrior: #RingStruck4 If you haven't seen Angle vs Lesnar 60 min ironman match, I feel sorry for you. https://t.co/9eGLsuWBth""",California
2018-04-20 19:34:47,b'#RingStruck4\n\n1. Earliest wrestling memory\n2. Favorite WWE match\n3. Match that got me into NJPW\n4. Favorite match o\xe2\x80\xa6 https://t.co/VkFQtUg7Au',California
2018-04-20 19:34:40,b'@allthemoneymc These ones stand out as wrestling memories that I often come back to \n\n#ringstruck4 https://t.co/vTagNpMBTf',California
2018-04-20 19:34:13,b' #RingStruck4 one of the best network tv shown matches of all time is angle vs lesnar iron man on smackdown. a true classic.\xe2\x80\xa6 https://t.co/qBrvrgIVx9',California
2018-04-20 19:34:12,b' #RingStruck4 RT @OlYoungBoi: Probably one of the hardest lists I\xe2\x80\x99ve ever constructed. I have two NXT matches in there for a reason. I truly believe NXT\xe2\x80\xa6',California
2018-04-20 19:34:11,b'I think. #RingStruck4 https://t.co/QsWzg7AuMq',California
2018-04-20 19:34:01,"b"" #RingStruck4 Wow, only 4 matches?\nI'll try. This is only scratching the surface, mind you.\nBut these had a huge impact on starti\xe2\x80\xa6 https://t.co/RpON9DcyEf""",California
2018-04-20 19:33:57,b'#ringstruck4 this was fucking difficult. https://t.co/rtjwrQAFdG',California
2018-04-20 19:33:54,b'#RingStruck4 Non-WWE edition https://t.co/kqbV0GgNAN',California
2018-04-20 19:33:43,b' #RingStruck4 Hopping on to add to this...\n\nHogan/Warrior is what hooked me. After I saw that I was a goner. Bret/Shawn blew my m\xe2\x80\xa6 https://t.co/xN9XICEPtd',California
2018-04-20 19:33:25,b'This was hard man. #ringstruck4 https://t.co/qZWDninWeY',California
2018-04-20 19:33:24,b'#RingStruck4 this is insanely hard but I think this nails it for me. Without any repeats. https://t.co/FkHM1u5ShS',California
2018-04-20 19:33:07,b'RT @StrowmanWapadoo: I can dig this #RingStruck4 https://t.co/iDTT7MUFLf',California
2018-04-20 19:32:52,b'#ringstruck4 @WrestlingSheet  these 4 blew me away https://t.co/6YsjC2857A',California
2018-04-20 19:32:51,b'#RingStruck4 IM TAKING OUT BRET V PERFECT AND REPLACING IT WITH... https://t.co/iEXQIPZCyK',California
2018-04-20 19:32:40,b'#ringstruck4 these 4 matches influenced me and changed my views on wrestling. They made me appreciate what these at\xe2\x80\xa6 https://t.co/8ybMrK9LYS',California
2018-04-20 19:32:35,"b' #RingStruck4 RT @WrestlingSheet: this is why i love lists like this. \n\nempty arena match sighting! \n\n(honestly, a hell of an advertising campaign for WW\xe2\x80\xa6'",California
2018-04-20 19:32:11,b'#RingStruck4 \n1. Huge moment as CM Punk won\n2. Classic match at Wrestlemania\n3. My favorite ladder match ever\n4. Bl\xe2\x80\xa6 https://t.co/vlay6AqwQK',California
2018-04-20 19:31:58,b'I had fun watching these too #RingStruck4 https://t.co/x1O3tLso9m',California
2018-04-20 19:31:57,"b' #RingStruck4 @WrestlingSheet This was ridiculously hard to pick, but these four matches made me continue to fall in love with wr\xe2\x80\xa6 https://t.co/tqz0gXeplO'",California
2018-04-20 19:31:53,b'I\xe2\x80\x99m following anyone that has at least 2 of the same #RingStruck4 as me',California
2018-04-20 19:31:51,b' #RingStruck4 @WrestlingSheet Mania VI and VII two of Warriors greatest matches IMO. I was there in person for Hero vs Punk EPIC!\xe2\x80\xa6 https://t.co/u182Fr48Db',California
2018-04-20 19:31:45,"b'The other day, #GameStruck4 was a thing but now, #RingStruck4 is a thing.\n\nWhat are 4 of your favorite matches?\xe2\x80\xa6 https://t.co/o2qEBcKrVM'",California
2018-04-20 19:31:42,"b'@WrestlingSheet @BustedOpenRadio #RingStruck4 Wyatt Family vs The Shield at Elimination Chamber, Elimination Chambe\xe2\x80\xa6 https://t.co/01rxj4vqBl'",California
2018-04-20 19:31:38,b'#ringstruck4 This one is quite difficult (Especially since memories from 2008 and back are really hazy. I was a lil\xe2\x80\xa6 https://t.co/ir4fd9YXOm',California
2018-04-20 19:31:12,"b""My men's  #ringstruck4 only fair the women get their own https://t.co/52tMiRrBQx""",California
2018-04-20 19:30:56,b'#ringstruck4 these matches are probably my 4 favorite matches I\xe2\x80\x99ve ever watched. Maybe I\xe2\x80\x99m forgetting a couple but\xe2\x80\xa6 https://t.co/t8h7TurMTm',California
2018-04-20 19:30:36,b'@WrestlingSheet The 4 most significant matches that kept me a fan through the years. \n\n#RingStruck4 https://t.co/Q4S2Gjxqtl',California
2018-04-20 19:30:30,b' #RingStruck4 RT @WrestlingSheet: I almost forgot about battle of the sexes and now all I can think about is how badly I want Asuka / Charlotte vs Zayn /\xe2\x80\xa6',California
2018-04-20 19:30:30,b'What the heck is #RingStruck4',California
2018-04-20 19:30:29,b' #RingStruck4 RT @WrestlingSheet: the movie version of this brought some incredible discussion - so this felt needed..\n\nwe want to see the four matches t\xe2\x80\xa6',California
2018-04-20 19:30:19,b'So many amazing matches but after much consideration this is my #RingStruck4 These matches are absolutely perfect &amp;\xe2\x80\xa6 https://t.co/7g65ZkuvuS',California
